height,recursive_cached,iterative_cached
4,0.00019780,0.00009600
5,0.00019980,0.00016790
6,0.00033760,0.00029020
7,0.00062070,0.00057040
8,0.00116050,0.00110860
9,0.00228880,0.00212620
10,0.00455950,0.00438140
11,0.00900770,0.00864950
12,0.01861140,0.01702620
13,0.03460900,0.03370380
14,0.06762200,0.06556650
15,0.13660570,0.12936160
16,0.27386150,0.26264150
